Fixed Data,New Date,Payload,Vehicle,Company,Site
"Apr 26, 2005 ",,Spaceway-1,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Apr 24, 1998 ",,GLOBALSTAR 2,Delta II,McDonnell Douglas Corporation,FL
"Apr 24, 1996 ",,MSX ,Delta II,McDonnell Douglas Corporation,CA
"Apr 23, 2021 ",,Crew-2,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 22, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 21, 2022 ",,Starlink Group 4-14 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 21, 2013 ",,Mass Simulator,Antares,Orbital ATK,VA
"Apr 21, 1997 ",,MINISAT I ,Pegasus XL,Orbital ATK,
"Apr 20, 2009 ",,SICRAL 1B,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Apr 20, 2006 ",,Astra 1KR,Atlas V,Lockheed Martin Commercial Launch Services,FL
"Apr 2, 2022 ",,"FF25 ""Without Mission a Beat"" ",Electron,Rocket Lab Global,NZ
"Apr 2, 2018 ",,CRS-14 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 18, 2017 ",,OA-7 Cygnus,Atlas V,United Launch Alliance,FL
"Apr 18, 2014 ",,Dragon,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 18, 1991 ",,BS-3H ,Atlas I,General Dynamics,FL
"Apr 17, 2019 ",,NG-11 Cygnus ,Antares,Orbital Sciences Corp.,VA
"Apr 16, 2008 ",,C/NOFS,Pegasus XL,Orbital ATK,MH
"Apr 16, 2004 ",,Superbird-6,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Apr 14, 2021 ",,NS-15/M14 ,New Shepard System,Blue Origin,TX
"Apr 14, 2015 ",,Dragon Spacecraft CRS-6,Falcon 9,Space Exploration Technologies Corporation,FL
"Apr 14, 2008 ",,ICO-G1,Atlas V-421,Lockheed Martin Commercial Launch Services,FL
"Apr 13, 1991 ",,ASC-2 ,Delta II,McDonnell Douglas Corporation,FL
"Apr 13, 1990 ",,PALAPA B2-R ,Delta II,McDonnell Douglas Corporation,FL
"Apr 12, 2003 ",,ASIASAT 4,Atlas IIIB,Lockheed Martin Commercial Launch Services,FL
"Apr 12, 1999 ",,EUTELSAT W3,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Apr 11, 2019 ",,Arabsat 6A ,Falcon Heavy,Space Exploration Technologies Corporation,FL
"Apr 11, 2006 ",,JCSat 9,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Apr 1, 2022 ",,Transporter-4 ,Falcon 9,Space Exploration Technologies Corporation,FL
