Fixed Data,New Date,Payload,Vehicle,Company,Site
"Mar 19, 2022 ",,Starlink Group 4-12 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 19, 2008 ",,DIRECTV 11,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Mar 18, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 18, 2001 ",,XM-2,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Mar 16, 2017 ",,EchoStar-23,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 16, 1998 ",,GBS F8,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Mar 15, 2022 ",,LV0009 ,Astra Rocket v3.3,Astra,AK
"Mar 14, 2021 ",,Starlink v1.0-21 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 14, 1992 ",,GALAXY 5 ,Atlas I,General Dynamics,FL
"Mar 14, 1990 ",,INTELSAT VI ,Titan,Martin Marrietta,FL
"Mar 13, 2004 ",,MBSat,Atlas IIIA,Lockheed Martin Commercial Launch Services,FL
"Mar 12, 2000 ",,ICOF-1,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Mar 11, 2021 ",,Starlink v1.0-20 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 11, 2005 ",,INMARSAT-4F1,Atlas V-431,Lockheed Martin Commercial Launch Services,FL
"Mar 1, 2015 ",,ABS3/EUTELSAT-1,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 1, 2013 ",,Dragon Reentry Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"Mar 1, 2005 ",,XM-3,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 8, 2022 ",,Nilesat-301 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 8, 2007 ",,COSMO-SkyMed 1,Delta II,McDonnell Douglas Corporation,CA
"Jun 7, 2003 ",,Thuraya II,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 7, 2000 ",,TSX-5,Pegasus XL,Orbital ATK,CA
"Jun 6, 2021 ",,SiriusXM-8 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 4, 2022 ",,NS-21/A1,New Shepard System,Blue Origin,TX
"Jun 4, 2018 ",,SES-12 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 4, 2010 ",,Dragon Reentry Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 30, 2021 ",,Transporter-2 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 30, 2021 ",,Flight 3 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
"Jun 3, 2021 ",,CRS-22 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 3, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 3, 2017 ",,Dragon CRS-11,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 29, 2022 ",,SES-22 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 29, 2019 ",,BLACKSKY ,Electron,Rocket Lab USA,NZ
"Jun 29, 2018 ",,CRS-15 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 29, 2004 ",,Telstar 18,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 28, 2022 ",,Flight 27 Capstone ,Electron,Rocket Lab Global,NZ
"Jun 28, 2015 ",,Dragon Spacecraft CRS-7,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 27, 2009 ",,GOES O,Delta IV,The Boeing Company,FL
"Jun 26, 2003 ",,Orbview 3,Pegasus XL,Orbital ATK,CA
"Jun 25, 2017 ",,Iridium-2,Falcon 9,Space Exploration Technologies Corporation,CA
"Jun 24, 1994 ",,UHF-3 ,Atlas I,Martin Marrietta,FL
"Jun 23, 2017 ",,Bulgaria SAT-1,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 23, 2005 ",,Intelsat Americas 8,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 23, 1990 ",,INTELSAT VI ,Titan,Martin Marrietta,FL
"Jun 21, 2004 ",,(Flight 15P),SpaceShipOne,Scaled Composites,CA
"Jun 19, 2022 ",,Globalstar-FM15 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 19, 2001 ",,ICO 2,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Jun 18, 2022 ",,SARah-1 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jun 18, 2006 ",,Galaxy 16,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 18, 1998 ",,INTELSAT 805,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Jun 18, 1991 ",,JOUST-1 ,Prospector,Space Data,FL
"Jun 17, 2022 ",,Starlink Group 4-19 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 15, 2016 ",,ABS-2A/Eutelsat 117W B,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 15, 2002 ",,GALAXY IIIC,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jun 13, 2021 ",,TacRL-2 ,Pegasus XL,"Orbital Sciences, LLC",CA
"Jun 13, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jun 13, 2020 ",,Big Ben ,Electron,Rocket Lab Global,NZ
"Jun 12, 2022 ",,LV0010/TROPICS-1 ,Rocket 3.3,Astra,FL
"Jun 12, 2019 ",,RadarSat ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jun 12, 1990 ",,INSAT-1D ,Delta 4925,McDonnell Douglas Corporation,FL
"Jun 10, 1999 ",,GLOBALSTAR 3,Delta II,McDonnell Douglas Corporation,FL
"Jun 10, 1998 ",,THOR III,Delta II,McDonnell Douglas Corporation,FL
"Jun 10, 1992 ",,INTELSAT K ,Atlas IIA,General Dynamics,FL
"Jun 1, 2012 ",,Intelsat-19,Zenit-3SL,"Energia Logistics, Ltd. (ELUS)",Pacific Ocean
"Jul 9, 1997 ",,IRIDIUM 2 ,Delta II,McDonnell Douglas Corporation,CA
"Jul 7, 2022 ",,Starlink Group 4-21 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 5, 2017 ",,Intelsat-35,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 4, 2020 ",,Exposure ,Electron,Rocket Lab Global,NZ
"Jul 30, 2002 ",,HyShot 2,Terrier-Orion,Astrotech,AU
"Jul 29, 2021 ",,Monolith ,Electron,Rocket Lab Global,NZ
"Jul 28, 2000 ",,PAS 9,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jul 28, 1997 ",,SUPERBIRD-C ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Jul 26, 2018 ",,N/A,SpaceShipTwo,Virgin Galactic,CA
"Jul 25, 2019 ",,CRS-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 25, 2018 ",,Iridium-6 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jul 25, 1999 ",,GLOBALSTAR 5,Delta II,McDonnell Douglas Corporation,FL
"Jul 25, 1996 ",,EHF F7 ,Atlas II,Lockheed Martin Commercial Launch Services,FL
"Jul 25, 1990 ",,CRRES ,Atlas I,General Dynamics,FL
"Jul 24, 2022 ",,Starlink Group 4-25 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 22, 2022 ",,Starlink Group 3-2 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jul 22, 2018 ",,Telstar 19V ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 20, 2021 ",,NS-16/M15,New Shepard System,Blue Origin,TX
"Jul 20, 2020 ",,K-MILSAT 1 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 20, 2018 ",,N/A ,Astra Rocket 1,"Astra Space, Inc.",AK
"Jul 2, 2022 ",,Flight 5 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
"Jul 18, 2018 ",,Multiple Payloads,PM4,Blue Origin,TX
"Jul 18, 2016 ",,CRS-9,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 17, 2022 ",,Starlink Group 4-22 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 17, 2003 ",,Rainbow,Atlas V,Lockheed Martin Commercial Launch Services,FL
"Jul 16, 2008 ",,EchoStar XI,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jul 14, 2022 ",,CRS-25 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 14, 2014 ",,Orbcomm-1 Second Generation Communications Satellites (#1 through #6),Falcon 9,Space Exploration Technologies Corporation,FL
"Jul 14, 2009 ",,RazakSat,Falcon 1,Space Exploration Technologies Corporation,MH
"Jul 14, 2000 ",,ECHOSTAR VI,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Jul 13, 2022 ",,F28 NROL-162 (Wise One Looks Ahead) ,Electron,Rocket Lab Global,NZ
"Jul 13, 2014 ",,Orb-2 Cygnus ,Antares,Orbital ATK,VA
"Jul 11, 2021 ",,VH-01,SpaceShipTwo,Virgin Galactic,NM
"Jul 10, 2022 ",,Starlink Group 3-1 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jul 10, 1999 ",,GLOBALSTAR 4,Delta II,McDonnell Douglas Corporation,FL
"Jul 1, 2019 ",,M3 ,SARGE,Exos Aerospace,NM
"Jan 9, 2014 ",,Orb-1 Cygnus ,Antares,Orbital ATK,VA
"Jan 8, 1991 ",,NATO IVA ,Delta II,McDonnell Douglas Corporation,FL
"Jan 7, 2021 ",,Turksat-5A ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 7, 2018 ",,Zuma ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 7, 1998 ",,Lunar Prospector,Athena-2,Lockheed Martin Commercial Launch Services,FL
"Jan 6, 2022 ",,Starlink Group 4-5 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 6, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 6, 2014 ",,THAICOM 6 MISSION ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 5, 2013 ",,Scientific ,STIG-B III,Armadillo Aerospace,NM
"Jan 31, 2022 ",,COSMO-SkyMed ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 31, 2018 ",,GovSat-1,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 30, 2020 ",,L-151 ,Electron,Rocket Lab USA,NZ
"Jan 30, 2007 ",,NSS-8,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jan 29, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 28, 1995 ",,EHF-F4 ,Atlas II,Martin Marrietta,FL
"Jan 27, 1999 ",,ROCSAT,Athena-11,Lockheed Martin Commercial Launch Services,FL
"Jan 24, 2021 ",,Transporter-1 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 23, 2019 ",,P7 ,New Shepard System,Blue Origin,TX
"Jan 20, 2021 ",,Starlink v1.0-16 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 20, 2021 ",,Kramer/Another One Leaves the Crust ,Electron,Rocket Lab Global,NZ
"Jan 20, 2018 ",,StillTesting,Electron,Rocket Lab USA,NZ
"Jan 19, 2020 ",,Crew Dragon/In-Flight Abort ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 18, 2022 ",,Starlink Group 4-6 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 17, 2021 ",,Flight 2 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
"Jan 15, 2008 ",,Thuraya D3,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Jan 14, 2021 ",,NS-14/M13 ,New Shepard System,Blue Origin,TX
"Jan 14, 2017 ",,Iridium-1,Falcon 9,Space Exploration Technologies Corporation,CA
"Jan 14, 1996 ",,KOREASAT-2 ,Delta II,McDonnell Douglas Corporation,FL
"Jan 13, 2022 ",,Flight 4 ,LauncherOne (L1),"Virgin Orbit, LLC",CA
"Jan 13, 2022 ",,F9-137 Transporter-3 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 11, 2019 ",,Iridium-7 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Jan 11, 2004 ",,Estrela do Sul,Zenit,Sea Launch Limited Partnership,Pacific Ocean
"Jan 10, 2015 ",,Dragon Spacecraft CRS-5,Falcon 9,Space Exploration Technologies Corporation,FL
"Jan 10, 1998 ",,SKYNET 4D,Delta II,McDonnell Douglas Corporation,FL
"Jan 10, 1995 ",,INTELSAT-VII-704 ,Atlas IIAS,Martin Marrietta,FL
"Jan 1, 1990 ",,JCSAT/SKYNET ,Titan,Martin Marrietta,FL
"Feb 9, 1993 ",,SCD-1/OXP ,Pegasus,Orbital ATK,VA
"Feb 8, 2000 ",,GLOBALSTAR 7,Delta II,McDonnell Douglas Corporation,FL
"Feb 6, 2018 ",,Tesla Roadster,Falcon Heavy,Space Exploration Technologies Corporation,FL
"Feb 5, 2004 ",,AMC-10,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Feb 4, 2021 ",,Starlink v1.0-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 3, 2022 ",,Starlink Group 4-7 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 3, 2000 ",,HISPASAT-1C,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Feb 28, 2022 ",,"Flight 24 ""The Owl's Night Continues"" ",Electron,Rocket Lab Global,NZ
"Feb 28, 1998 ",,INTELSAT 806,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Feb 26, 1998 ",,SNOE,Pegasus XL,Orbital ATK,CA
"Feb 25, 2022 ",,Starlink Group 4-11 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Feb 22, 2019 ",,VF-01,SpaceShipTwo,Virgin Galactic,CA
"Feb 22, 2018 ",,Paz/Demosat,Falcon 9,Space Exploration Technologies Corporation,CA
"Feb 21, 2022 ",,Starlink Group 4-8 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 21, 2019 ",,PSN VI ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 21, 2002 ",,ECHOSTAR VII,Atlas IIIB,Lockheed Martin Commercial Launch Services,FL
"Feb 20, 2021 ",,NG-15 ,Antares,Orbital Sciences Corp,VA
"Feb 2, 2021 ",,SN9 Suborbital Flight ,Starship Prototype,Space Exploration Technologies Corporation,TX
"Feb 19, 2022 ",,NG-17 ,Antares,"Orbital Sciences, LLC",VA
"Feb 19, 2017 ",,Dragon CRS 10,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 19, 1994 ",,GALAXY 1R-2 ,Delta II,McDonnell Douglas Corporation,FL
"Feb 19, 1993 ",,CONSORT-6 ,Starfire 1,EER Systems Corporation,NM
"Feb 18, 1998 ",,IRIDIUM 7,Delta II,McDonnell Douglas Corporation,CA
"Feb 17, 2020 ",,Starlink ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 17, 1997 ",,JCSAT-4 ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Feb 16, 2021 ",,Starlink v1.0-19 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Feb 16, 1999 ",,JCSAT-6,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Feb 15, 2020 ",,NG-13 Cygnus ,Antares,Northrop Grumman,VA
"Feb 15, 2006 ",,Echostar X,Zenit-3SL,Sea Launch Limited Partnership,Pacific Ocean
"Feb 14, 1998 ",,GLOBALSTAR 1,Delta II,McDonnell Douglas Corporation,FL
"Feb 14, 1990 ",,LOSAT ,Delta II,McDonnell Douglas Corporation,FL
"Feb 11, 2002 ",,IRIDIUM,Delta II,McDonnell Douglas Corporation,CA
"Feb 10, 2022 ",,VCLS Demo-2 ,Rocket 3.3,"Astra Space, Inc.",FL
"Feb 10, 1998 ",,GEOSAT F/O,Taurus,Orbital ATK,CA
"Feb 1, 2013 ",,Intelsat 27,Zenit-3SL,"Energia Logistics, Ltd. (ELUS)",Pacific Ocean
"Feb 1, 1996 ",,PALAPA-C1 ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Dec 9, 2020 ",,15km Hop ,Starship Prototype,Space Exploration Technologies Corporation,TX
"Dec 9, 2007 ",,COSMO-SkyMed-2,Delta II,Boeing Launch Services,CA
"Dec 8, 2021 ",,"Flight 23 ""A Data With Destiny"" ",Electron,Rocket Lab Global,NZ
"Dec 8, 2010 ",,Dragon Reentry Capsule,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 8, 1997 ",,GALAXY 8I ,Atlas IIAS,Lockheed Martin Commercial Launch Services,FL
"Dec 8, 1994 ",,CSAR II ,Black Brant,EER Systems Corporation,NM
"Dec 8, 1993 ",,NATO IVB ,Delta II,McDonnell Douglas Corporation,FL
"Dec 7, 1991 ",,EUTELSAT ,Atlas II,General Dynamics,FL
"Dec 6, 2020 ",,CRS-21 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 6, 2019 ",,Pinball / Running Out of Fingers ,Electron,Rocket Lab USA,NZ
"Dec 6, 2015 ",,OA-4 Cygnus,Atlas V,United Launch Alliance,FL
"Dec 5, 2019 ",,CRS-19 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 5, 2018 ",,CRS-16 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 5, 2014 ",,Orion Exploration Flight Test 1 (EFT-1) reentry vehicle,Delta IV Heavy,United Launch Alliance,FL
"Dec 4, 1999 ",,ORBCOMM IV,Pegasus XL,Orbital ATK,VA
"Dec 3, 2018 ",,SSO-A ,Falcon 9,Space Exploration Technologies Corporation,CA
"Dec 3, 2013 ",,SES-8 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 3, 2012 ",,Eutelsat 70B,Zenit-3SL,"Energia Logistics, Ltd. (ELUS)",Pacific Ocean
"Dec 23, 1997 ",,ORBCOMM I,Pegasus XL,Orbital ATK,VA
"Dec 22, 2017 ",,Iridium-4,Falcon 9,Space Exploration Technologies Corporation,CA
"Dec 21, 2021 ",,CRS-24 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 21, 2015 ",,Orbcomm2,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 21, 1999 ",,KOMPSAT/ACRIMSAT,Taurus,Orbital ATK,CA
"Dec 20, 1997 ",,IRIDIUM 6 ,Delta II,McDonnell Douglas Corporation,CA
"Dec 2, 2021 ",,Starlink Group 4-3 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 19, 2020 ",,NROL-108 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 18, 2021 ",,Turksat-5B ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 18, 2021 ",,Starlink Group 4-4 ,Falcon 9,Space Exploration Technologies Corporation,CA
"Dec 18, 2016 ",,EchoStar 19,Atlas V,Lockheed Martin Commercial Launch Services,FL
"Dec 18, 2003 ",,UHF-F11 17,Atlas IIIB,Lockheed Martin Commercial Launch Services,FL
"Dec 18, 1996 ",,INMARSAT III F3 ,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Dec 17, 2004 ",,AMC-16,Atlas V-521,Lockheed Martin Commercial Launch Services,FL
"Dec 16, 2019 ",,JCSAT-18 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 16, 2018 ",,ELaNa XIX ,Electron,Rocket Lab USA,NZ
"Dec 16, 1993 ",,TELSTAR 401 ,Atlas IIAS,General Dynamics,FL
"Dec 15, 2020 ",,Test Launch ,Rocket 3.2,Astra,AK
"Dec 15, 2020 ",,Flight 17 / SARdine ,Electron,Rocket Lab Global,NZ
"Dec 15, 2017 ",,Dragon,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 15, 1995 ",,Galaxy 3R ,Atlas IIA,Lockheed Martin Commercial Launch Services,FL
"Dec 13, 2020 ",,SiriusXM-7 ,Falcon 9,Space Exploration Technologies Corporation,FL
"Dec 13, 2018 ",,VP-03,SpaceShipTwo,Virgin Galactic,CA
"Dec 12, 2020 ",,VF02,SpaceShipTwo,Virgin Galactic,NM
